,weight_shap_total_mean,weight_shap_total_std,weight_grad_total_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
NR2F1,6.6011041608655e-05,0.00015621331041711483,1.98759719e-05,11,9.949127444404357e-06,0.7230547149301071,True,False,False,False,True
STK33,6.402000764069099e-05,7.269033550351754e-05,1.25692622e-05,10,2.6751756696824624e-05,0.5482274936885972,True,False,False,False,False
CXCR3,6.213748808682899e-05,0.00010636324889724724,-4.183624009999999e-05,10,0.0007436426626895,0.6594240815601308,True,False,False,False,False
TTK,6.568544660856399e-05,0.00013528735406229223,3.81410438e-05,10,7.497590611810045e-06,1.45320807987184,True,False,False,False,False
KLF5,4.8014085837914e-05,7.583932316555348e-05,1.21417672e-05,9,3.973700717475723e-06,1.2512201050135416,True,False,False,False,True
IRF8,3.7526041709009e-05,6.346589748476031e-05,-2.54644342e-05,9,0.0022361159745139,0.830493439980905,True,False,False,False,True
WDFY4,5.8080806770353004e-05,0.00014045729837589265,-4.16163397e-05,9,8.421283513601903e-05,0.7860016037299027,True,False,False,False,False
ITGAL,5.6229418053865e-05,0.00015781199716236754,-3.1947174299999995e-05,9,0.0005200702804946,0.8009549491994271,True,False,False,False,False
ADGRG5,6.8866765321371e-05,0.00024538895866499974,-2.0692296100000002e-05,9,0.0048953554890354,0.7262427433012965,True,False,False,False,False
FGD2,5.8271609268075e-05,0.00011697717509059205,-3.88962015e-05,9,2.2758353052752264e-05,0.792584885698146,True,False,False,False,False
DEPDC1,5.7792402098307e-05,0.0001713145976728026,3.8739965899999994e-05,8,0.000650996741427,1.3549406307895122,True,False,False,False,False
P2RY13,5.5868492012475996e-05,0.00010018109716082621,-4.2795453e-05,8,0.0013046761585034,0.7089044649658174,True,False,False,False,False
ZBTB16,5.0703166125669e-05,6.83992845161115e-05,2.5324532200000002e-05,8,0.0001310036345363,0.4750694582706397,True,False,False,False,True
ADGRF5,6.5415586970116e-05,0.00011742362694345226,-1.4670429499999998e-05,8,1.1130099249586224e-05,0.749281561930602,True,False,False,True,False
